Dataset,Line,Example,Template,ClusterId,Tokens,nltk,stanza,spacy,hanta,treetagger,TagComparison,Majority
Thunderbird,28439275,[INFO]: Generate SM IN_SERVICE trap for GID=0xfe800000000000000005ad0000040e39,[INFO]: Generate SM IN_SERVICE trap for <*>,233,"['(', 'INFO', ')', '.', 'Generate', 'SM', 'IN_SERVICE', 'trap', 'for', 'GID=0xfe800000000000000005ad0000040e39']","['PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'NOUN', 'ADP', 'PROPN']","['PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'VERB', 'PROPN', 'PROPN', 'NOUN', 'ADP', 'PROPN']","['PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'VERB', 'PROPN', 'PROPN', 'NOUN', 'ADP', 'NOUN']","['PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'VERB', 'PROPN', 'PROPN', 'NOUN', 'ADP', 'NOUN']","['PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'VERB', 'PROPN', 'PROPN', 'NOUN', 'ADP', 'PROPN']","TagComparison(majority=['PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'VERB', 'PROPN', 'PROPN', 'NOUN', 'ADP', 'PROPN'], confidence=[1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0], minority=[{}, {}, {}, {}, {'nltk': 'PROPN'}, {}, {}, {}, {}, {}])","['PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'VERB', 'PROPN', 'PROPN', 'NOUN', 'ADP', 'PROPN']"
Spark,7109853,Received new token for : mesos-master-1:35426,Received new token for : <*>,27,"['Received', 'new', 'token', 'for', '.', 'mesos-master-1:35426']","['VERB', 'ADJ', 'NOUN', 'ADP', 'PUNCT', 'NOUN']","['VERB', 'ADJ', 'NOUN', 'ADP', 'PUNCT', 'PROPN']","['VERB', 'ADJ', 'NOUN', 'ADP', 'PUNCT', 'X']","['VERB', 'ADJ', 'NOUN', 'ADP', 'PUNCT', 'NOUN']","['VERB', 'ADJ', 'NOUN', 'ADP', 'PUNCT', 'NOUN']","TagComparison(majority=['VERB', 'ADJ', 'NOUN', 'ADP', 'PUNCT', 'PROPN'], confidence=[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], minority=[{}, {}, {}, {}, {}, {}])","['VERB', 'ADJ', 'NOUN', 'ADP', 'PUNCT', 'PROPN']"
Android,851,onStartedWakingUp(),onStartedWakingUp(),5,"['onStartedWakingUp', '(', ')']","['NOUN', 'PUNCT', 'PUNCT']","['PROPN', 'PUNCT', 'PUNCT']","['NOUN', 'PUNCT', 'PUNCT']","['PROPN', 'PUNCT', 'PUNCT']","['NOUN', 'PUNCT', 'PUNCT']","TagComparison(majority=['PROPN', 'PUNCT', 'PUNCT'], confidence=[1.0, 1.0, 1.0], minority=[{}, {}, {}])","['PROPN', 'PUNCT', 'PUNCT']"
Android,153035,2016-12-17 20:31:43.073 T:24286    INFO: IQiyiLiveDataProvider::StartModule: Success !,<*> INFO: IQiyiLiveDataProvider::StartModule: Success !,473,"['2016-12-17', '20:31:43.073', 'T:24286', 'INFO', '.', 'IQiyiLiveDataProvider', '.', ':StartModule', '.', 'Success', '.']","['ADJ', 'NUM', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT']","['NUM', 'NUM', 'NUM', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NOUN', 'PUNCT']","['NUM', 'NUM', 'ADJ', 'PROPN', 'PUNCT', 'INTJ', 'PUNCT', 'X', 'PUNCT', 'NOUN', 'PUNCT']","['NUM', 'NUM', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']","['NUM', 'NUM', 'PROPN', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']","TagComparison(majority=['NUM', 'NUM', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT'], confidence=[1.0, 1.0, 0.6, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0], minority=[{}, {}, {'stanza': 'NUM', 'spacy': 'ADJ'}, {}, {}, {'spacy': 'INTJ'}, {}, {}, {}, {}, {}])","['NUM', 'NUM', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT']"
Android,60802,random_mix_pool - hexdump(len=5): [REMOVED],random_mix_pool - <*> [REMOVED],231,"['random_mix_pool', '-', 'hexdump', '(', 'len=5', ')', '.', '(', 'REMOVED', ')']","['NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'PROPN', 'PUNCT']","['NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'VERB', 'PUNCT']","['NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'VERB', 'PUNCT']","['NOUN', 'ADP', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PUNCT', 'VERB', 'PUNCT']","['NOUN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'VERB', 'PUNCT']","TagComparison(majority=['NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'VERB', 'PUNCT'], confidence=[1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 0.8, 1.0], minority=[{}, {}, {}, {}, {'hanta': 'NUM'}, {}, {}, {}, {'nltk': 'PROPN'}, {}])","['NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'VERB', 'PUNCT']"
Thunderbird,177484970,VIPKL(1): [create_mr] MM_bfor addr=0x17080000 size=0xA000,<*> [create_mr] MM_bfor <*>,742,"['VIPKL', '(', '1', ')', '.', '(', 'create_mr', ')', 'MM_bfor', 'addr=0x17080000', 'size=0xA000']","['PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PUNCT', 'NOUN', 'PUNCT', 'PROPN', 'NOUN', 'NOUN']","['PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PUNCT', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'NOUN']","['PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PUNCT', 'NOUN', 'PUNCT', 'ADP', 'PROPN', 'PROPN']","['PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PUNCT', 'X', 'PUNCT', 'NOUN', 'NOUN', 'NUM']","['PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'NOUN', 'NOUN']","TagComparison(majority=['PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'NOUN'], confidence=[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6, 1.0, 0.6], minority=[{}, {}, {}, {}, {}, {}, {}, {}, {'spacy': 'ADP', 'hanta': 'NOUN'}, {}, {'spacy': 'PROPN', 'hanta': 'NUM'}])","['PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'NOUN']"
Thunderbird,37062485,Free pages: 224592kB (0kB HighMem),Free pages: <*> HighMem),351,"['Free', 'pages', '.', '224592kB', '(', '0kB', 'HighMem', ')']","['ADJ', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PROPN', 'PUNCT']","['ADJ', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT']","['ADJ', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT']","['ADJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'X', 'X', 'PUNCT']","['ADJ', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT']","TagComparison(majority=['ADJ', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PROPN', 'PUNCT'], confidence=[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], minority=[{}, {}, {}, {}, {}, {}, {}, {}])","['ADJ', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PROPN', 'PUNCT']"
Thunderbird,18739501,MOSAL(1): alegra_3D_alegr[1014]: mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxsys/obj_host_amd64_custom1_rhel4/mlxsys/mosal_iobuf.c:1136: MOSAL_mlock_iobuf failed - MT_EAGAIN,<*> MOSAL_mlock_iobuf failed - MT_EAGAIN,211,"['MOSAL', '(', '1', ')', '.', 'alegra_3D_alegr', '(', '1014', ')', '.', 'mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxsys/obj_host_amd64_custom1_rhel4/mlxsys/mosal_iobuf.c:1136', '.', 'MOSAL_mlock_iobuf', 'failed', '-', 'MT_EAGAIN']","['PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'NOUN', 'PUNCT', 'PROPN', 'VERB', 'PUNCT', 'NOUN']","['PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'VERB', 'PUNCT', 'X']","['NOUN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'VERB', 'PUNCT', 'PROPN']","['NOUN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'NOUN', 'PUNCT', 'PROPN', 'VERB', 'ADP', 'PROPN']","['PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'NOUN', 'PUNCT', 'PROPN', 'VERB', 'PROPN', 'PROPN']","TagComparison(majority=['PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'VERB', 'PUNCT', 'PROPN'], confidence=[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], minority=[{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}])","['PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'VERB', 'PUNCT', 'PROPN']"
OpenSSH,4942,input_userauth_request: invalid user nagios [preauth],input_userauth_request: invalid user nagios [preauth],19,"['input_userauth_request', '.', 'invalid', 'user', 'nagios', '(', 'preauth', ')']","['NOUN', 'PUNCT', 'ADJ', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']","['PROPN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']","['X', 'PUNCT', 'ADJ', 'NOUN', 'PROPN', 'PUNCT', 'NOUN', 'PUNCT']","['ADJ', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'ADJ', 'PUNCT']","['NOUN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']","TagComparison(majority=['NOUN', 'PUNCT', 'ADJ', 'NOUN', 'PROPN', 'PUNCT', 'NOUN', 'PUNCT'], confidence=[0.6, 1.0, 1.0, 0.8, 1.0, 1.0, 0.8, 1.0], minority=[{'stanza': 'PROPN', 'hanta': 'ADJ'}, {}, {}, {'nltk': 'ADJ'}, {}, {}, {'hanta': 'ADJ'}, {}])","['NOUN', 'PUNCT', 'ADJ', 'NOUN', 'PROPN', 'PUNCT', 'NOUN', 'PUNCT']"
Zookeeper,17590,caught end of stream exception,caught end of stream exception,15,"['caught', 'end', 'of', 'stream', 'exception']","['ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN']","['VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN']","['VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN']","['VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN']","['VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN']","TagComparison(majority=['VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN'], confidence=[0.8, 1.0, 1.0, 1.0, 1.0], minority=[{'nltk': 'ADJ'}, {}, {}, {}, {}])","['VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN']"
