Dataset,Line,Example,Template,ClusterId
HDFS,1549,Receiving block blk_5614249702379360530 src: /10.251.91.84:57262 dest: /10.251.91.84:50010,Receiving block <*> src: <*> dest: <*>,0
HDFS,2847,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.123.33:50010 is added to blk_2646137657036117634 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,1
HDFS,3092,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000359_0/part-00359. blk_6609144330049651960,BLOCK* NameSystem.allocateBlock: <*>,2
HDFS,4819,Received block blk_-6232712486646639079 of size 67108864 from /10.251.194.102,Received block <*> of size <*> from <*>,3
HDFS,9108,PacketResponder 1 for block blk_-6877771159587042468 terminating,PacketResponder <*> for block <*> terminating,4
HDFS,84386,10.251.71.146:50010:Transmitted block blk_-4304326910587241051 to /10.251.127.191:50010,<*> block <*> to <*>,5
HDFS,212267,10.251.107.50:50010 Starting thread to transfer block blk_3969850602129867493 to 10.251.74.227:50010,<*> Starting thread to transfer block <*> to <*>,6
HDFS,262492,Verification succeeded for blk_-8164640992167524938,Verification succeeded for <*>,7
HDFS,472908,BLOCK* NameSystem.delete: blk_-6844576641803297962 is added to invalidSet of 10.251.198.196:50010,BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,8
HDFS,479346,Deleting block blk_-1712255845843316601 file /mnt/hadoop/dfs/data/current/subdir6/blk_-1712255845843316601,Deleting block <*> file <*>,9
HDFS,481506,10.251.214.112:50010:Got exception while serving blk_6603206161052065734 to /10.250.6.4:,<*> exception while serving <*> to <*>,10
HDFS,482504,10.251.125.237:50010 Served block blk_-111009123109180926 to /10.251.125.237,<*> Served block <*> to <*>,11
HDFS,1299954,writeBlock blk_-3950880431547243045 received exception java.io.IOException: Could not read from stream,writeBlock <*> received exception java.io.IOException: Could not read from stream,12
HDFS,1446455,BLOCK* NameSystem.addStoredBlock: Redundant addStoredBlock request received for blk_3446153521285539784 on 10.251.199.86:50010 size 67108864,BLOCK* NameSystem.addStoredBlock: Redundant addStoredBlock request received for <*> on <*> size <*>,13
HDFS,2634980,Received block blk_-5966861501708083020 src: /10.251.199.150:41975 dest: /10.251.199.150:50010 of size 67108864,Received block <*> src: <*> dest: <*> of size <*>,14
HDFS,4614226,Unexpected error trying to delete block blk_7189940110598679411. BlockInfo not found in volumeMap.,Unexpected error trying to delete block <*> BlockInfo not found in volumeMap.,15
HDFS,4695180,BLOCK* ask 10.251.214.112:50010 to replicate blk_-3710855970673163183 to datanode(s) 10.250.14.38:50010,BLOCK* ask <*> to replicate <*> to datanode(s) <*>,16
Hadoop,48,bufstart = 13587577; bufend = 47763869; bufvoid = 104857600,bufstart = <*> bufend = <*> bufvoid = <*>,0
Hadoop,212,(EQUATOR) 0 kvi 26214396(104857584),(EQUATOR) <*> kvi <*>,1
Hadoop,299,Using ResourceCalculatorProcessTree : org.apache.hadoop.yarn.util.WindowsBasedProcessTree@49a29f92,Using ResourceCalculatorProcessTree : <*>,2
Hadoop,354,kvstart = 22330272(89321088); kvend = 9903144(39612576); length = 12427129/6553600,kvstart = <*> kvend = <*> length = <*>,3
Hadoop,358,Spilling map output,Spilling map output,4
Hadoop,442,Finished spill 6,Finished spill <*>,5
Hadoop,454,"session.id is deprecated. Instead, use dfs.metrics.session-id","session.id is deprecated. Instead, use dfs.metrics.session-id",6
Hadoop,569,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,7
